split,task_index,family,task_id,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_peaks,worst_peak,maximum_normalized_residual,wall_seconds
test_id,5,SENS_UNET_BEST4_R50,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,8fcaff15d8e8d1e522e42ae2d5ba4c4b7872f03170d5633e654950f5bccaa0d0,3f56931eafb785c51a7e427a9fe1bb610022171c6a495f721d637f14ef719a15,0.25,"(0.17263108107987937, 0.14965360514198695, 0.16993496592571306)",0.17263108107987937,8.337100801247504e-12,1.9001062624156475
test_id,5,ADAM_600,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,9cd09961ac960f4c6ce38a79471ef18349ffa2f7e2000d922370d537f6f3de3e,02a6f720f993256263ce9edfc152354aaa64cd19e66dad344422d109ae111ed1,0.25,"(0.18460678159184907, 0.1674525330959577, 0.18145692493818638)",0.18460678159184907,8.725995035952384e-12,2.0052503515034914
test_id,5,MMA_600,e0b1103b307c209eea192ea6b3e715434ca5e77b5fb3f5345f0e69cd8d0094cb,256,989f5ff66449330ce7ecd34b7be2c126aaf60d1a886f3c6c35785543fc9f6084,286cfb0b5b75e5d0bdc94b71170d1983765618729da8dcbc418568a24e933f79,0.25,"(0.1918973709409997, 0.1751845329776264, 0.18679248514173238)",0.1918973709409997,8.085852072132091e-12,1.9946923833340406
test_id,6,SENS_UNET_BEST4_R25,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,e2fa0679bf46e10bcf9b28c6c35f5919d60923945111945bd7bc23e93711b0e3,b72f39f13d0de4cda080ef14b9f835786031dd6efb33017a39e555ad1ea3dac0,0.25,"(0.15918485809338495, 0.11749626355798072, 0.15952076404851856)",0.15952076404851856,7.807540343900501e-12,1.8767051883041859
test_id,6,FIELD_UNET_BEST4_R25,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,e7b9453117f44e2725228407609c326ce4a8bcfdd2bad28bfd0d165c696f63b6,8e7cd4df931f81501fadcc372e44ae0c4ecf917f61512bab5693079751acdee7,0.25,"(0.15771433977174823, 0.11488283648278313, 0.154044545115799)",0.15771433977174823,7.673898019663538e-12,2.0027624368667603
test_id,6,SENS_UNET_BEST4,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,1c971cbffa43835bae432e12f2548925f35c642d1e9be906ca6132c3a867ec99,ee71b5e8110ae94a6e18cfed21d50354b896275b32f1936da3e73cc23e779e1c,0.25,"(0.15971581837323456, 0.117567320026955, 0.1603946092244233)",0.1603946092244233,7.8044796946443e-12,1.8881173357367516
test_id,6,SENS_UNET_BEST4_R50,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,bbe1b95314ba94023053cff692eac77a0e2a9c85f7c0d87d02447720d873ca58,913777d2ab936a56ef475c5eaa74f2ada7cc0c645c757368029a5bee9aa97bd5,0.25,"(0.16051677180270627, 0.11640753984884483, 0.15854382854370752)",0.16051677180270627,7.826562159858209e-12,1.9066526219248772
test_id,6,ADAM_600,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,48892090be366ea0408e8f7c4fd368e51261623bf05bfd8f204f109095298e14,b5da7587c54e4f5796c0c0f6d68cfe5d2a50524b85e8a2fb310bd1dccfe64894,0.25,"(0.1702581813454205, 0.13779580208648487, 0.17129764989788507)",0.17129764989788507,8.027052628329172e-12,1.9937468748539686
test_id,6,MMA_600,924fe3323e600dd7260c44f8efd0f08263d30b375986c1c9139ae64c7fe91a75,256,d772bf5c1002b3ac2d3465db1d810b57b8314520501467cf591594a7f1d4e0dc,60cb8c24422c976d83caa4d0b09d0f94ec7c0a6551bed5a94367dbe04a8c08b1,0.25,"(0.17445550802060023, 0.11419353825632628, 0.1720564641770759)",0.17445550802060023,7.490001696316538e-12,2.213907213881612
test_id,7,SENS_UNET_BEST4_R25,015ca74b31339c6c46529f8d28b0a29315a8ae5fe3806584d1fb811908f1f1e9,256,0115fbbaec0c890c4d820ec789f473b0f581ed57b2e1ce29f7cc6946aa957e2f,098c29e0dcffc5ee760ec3c8dab8e32219c6321310bdc45578ae06fbf0a54273,0.25,"(0.15483396163792992, 0.14699173099778193, 0.15551622996779293)",0.15551622996779293,7.44660183578152e-12,2.000579120591283
