rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
38819,tree_xs_0p700_xj_0p350_yj_0p150_r_1p00,0.7,0.35,0.15,1.0,64,2a81257ab03c7e8a274a6ad3a4be149a1c0eefe63971b9702b653a9d71f4eedf,2a81257ab03c7e8a274a6ad3a4be149a1c0eefe63971b9702b653a9d71f4eedf,0.25,0.19351615884598053,0.21907844173791033,0.23860753006852098,0.23860753006852098,0.21706737688413727,5.97213032333992e-13,0.02394810000259895
38820,tree_xs_0p300_xj_0p675_yj_0p325_r_0p75,0.3,0.675,0.325,0.75,64,142ddb9b1a8de10c7ba9ccffda7654832eb7691448781155f113f13f0497cbd7,142ddb9b1a8de10c7ba9ccffda7654832eb7691448781155f113f13f0497cbd7,0.25,0.20450668335220082,0.23863351273891412,0.2203574794844068,0.23863351273891412,0.22116589185850724,7.880778641459842e-13,0.015558599989162758
38821,tree_xs_0p700_xj_0p325_yj_0p325_r_0p75,0.7,0.325,0.325,0.75,64,9a31e43c8373d6e981ae94e9aa2800c47a0c5b6a605705b82ea1acd88cb8a852,9a31e43c8373d6e981ae94e9aa2800c47a0c5b6a605705b82ea1acd88cb8a852,0.25,0.20450668335221248,0.22035747948441728,0.23863351273892772,0.23863351273892772,0.22116589185851918,7.970669968318674e-13,0.025083500004257075
38822,tree_xs_0p475_xj_0p750_yj_0p575_r_2p00,0.475,0.75,0.575,2.0,64,892643bbe452d6cdea4666059de5803aa9e7ef094928830e53882d52a3f44772,892643bbe452d6cdea4666059de5803aa9e7ef094928830e53882d52a3f44772,0.25,0.17884106047357234,0.2386340964588337,0.16823527170149993,0.2386340964588337,0.19523680954463532,5.254015345979278e-13,0.022071100000175647
38823,tree_xs_0p525_xj_0p250_yj_0p575_r_2p00,0.525,0.25,0.575,2.0,64,c19cfa3835b992e211a6268c79ade9ae32b77b1d4a3a5af3afd7578b430be25e,c19cfa3835b992e211a6268c79ade9ae32b77b1d4a3a5af3afd7578b430be25e,0.25,0.17884106047357634,0.16823527170150293,0.2386340964588379,0.2386340964588379,0.19523680954463907,5.308955892538521e-13,0.02239170001121238
38824,tree_xs_0p675_xj_0p350_yj_0p150_r_0p75,0.675,0.35,0.15,0.75,64,f16d52a7d32f16842e14406cef36d93a3c42962fe70561ef98116f216e259166,f16d52a7d32f16842e14406cef36d93a3c42962fe70561ef98116f216e259166,0.25,0.19748045302139158,0.22057439653136762,0.23864640794326464,0.23864640794326464,0.21890041916534128,6.772894255590909e-13,0.024526100009097718
38825,tree_xs_0p550_xj_0p250_yj_0p300_r_0p75,0.55,0.25,0.3,0.75,64,26161350675203becc891e055e35b74ffcacbd09012509dcbed683abab151e3a,26161350675203becc891e055e35b74ffcacbd09012509dcbed683abab151e3a,0.25,0.20000170647931084,0.20846760467032652,0.23864949984945596,0.23864949984945596,0.2157062703330311,8.098876272633282e-13,0.02159129999927245
38826,tree_xs_0p375_xj_0p750_yj_0p375_r_1p00,0.375,0.75,0.375,1.0,64,7e4c02ae64060ec358b4d4d1c9c0adb9d2adbf4f45acc189d8e87522e75824fd,7e4c02ae64060ec358b4d4d1c9c0adb9d2adbf4f45acc189d8e87522e75824fd,0.25,0.1988795282733167,0.23865259040277728,0.20330222489630217,0.23865259040277728,0.21361144785746541,7.657220841087689e-13,0.018833900001482107
38827,tree_xs_0p625_xj_0p250_yj_0p375_r_1p00,0.625,0.25,0.375,1.0,64,dae72de03dc5d4ffb1355a6259e6ddc03d95b507891c391d018a3d34d9983b1f,dae72de03dc5d4ffb1355a6259e6ddc03d95b507891c391d018a3d34d9983b1f,0.25,0.1988795282733276,0.2033022248963097,0.23865259040278994,0.23865259040278994,0.21361144785747577,7.765445138382491e-13,0.026068799998029135
38828,tree_xs_0p675_xj_0p350_yj_0p225_r_0p75,0.675,0.35,0.225,0.75,64,75a380fc1443ae766f7e00fe5a343c8458796390c69947d3ec1e7809c4d4628c,75a380fc1443ae766f7e00fe5a343c8458796390c69947d3ec1e7809c4d4628c,0.25,0.20201100644383355,0.22048264007207646,0.2386618261389103,0.2386618261389103,0.2203851575516068,7.721282535690093e-13,0.02486430000863038
38829,tree_xs_0p325_xj_0p650_yj_0p225_r_0p75,0.325,0.65,0.225,0.75,64,32b13afea3bb2bf054e4d03f84d8b9ce7b8641e81819008ad8ff0983c018f2cf,32b13afea3bb2bf054e4d03f84d8b9ce7b8641e81819008ad8ff0983c018f2cf,0.25,0.20201100644384257,0.23866182613892686,0.22048264007207913,0.23866182613892686,0.22038515755161617,7.291205388968614e-13,0.016200300000491552
38830,tree_xs_0p700_xj_0p300_yj_0p425_r_0p75,0.7,0.3,0.425,0.75,64,0b8a39b507c024177b24ddb596c8f4de5d0559cdd4009a8765bbb9c3671c89ce,0b8a39b507c024177b24ddb596c8f4de5d0559cdd4009a8765bbb9c3671c89ce,0.25,0.20688726427203435,0.2101844519965855,0.23867805954836346,0.23867805954836346,0.21858325860566108,8.15061748150608e-13,0.022906800004420802
38831,tree_xs_0p650_xj_0p275_yj_0p325_r_1p25,0.65,0.275,0.325,1.25,64,33c4400c7f8640b18b231d31c7325398a1851a9d68f516ee4fab447c87069e93,33c4400c7f8640b18b231d31c7325398a1851a9d68f516ee4fab447c87069e93,0.25,0.19212471914906962,0.20609244325950585,0.23869552287052181,0.23869552287052181,0.21230422842636576,6.267704670220114e-13,0.02305970000452362
38832,tree_xs_0p350_xj_0p725_yj_0p325_r_1p25,0.35,0.725,0.325,1.25,64,8a1a5331f156ab755ef0b11fb9153ee9c053a3ecc5304d89c6127093bbfbc2e8,8a1a5331f156ab755ef0b11fb9153ee9c053a3ecc5304d89c6127093bbfbc2e8,0.25,0.19212471914907425,0.23869552287052354,0.20609244325950848,0.23869552287052354,0.21230422842636876,6.271856066102435e-13,0.017024500004481524
38833,tree_xs_0p425_xj_0p750_yj_0p525_r_2p00,0.425,0.75,0.525,2.0,64,64f0332b90290337f48fdc5a765a2e665a412cb3d46f1827e35d19586c646b78,64f0332b90290337f48fdc5a765a2e665a412cb3d46f1827e35d19586c646b78,0.25,0.18091727636286362,0.23869850998738243,0.17798458076751075,0.23869850998738243,0.19920012237258558,4.932122210465597e-13,0.0186591999954544
