candidate_id,case_id,grid_ny,grid_nx,design_hash_64,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,scenario_A_residual,scenario_B_residual,scenario_C_residual,worst_peak,k_high,wall_seconds
straight_path,shift_B_1_up,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.3180985052399126,0.31694179815031337,8.060270556133302e-12,7.2717220526534734e-12,7.413941205243471e-12,0.3180985052399126,20.0,0.6439810000010766
evenly_dispersed_binary,shift_B_1_up,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5861283463995537,0.5849495361189074,2.1422474857255522e-11,2.1487370249373392e-11,2.1756926147835962e-11,0.5861283463995537,20.0,0.6151121000002604
single_A_20260828,shift_B_1_up,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.32056748086496417,0.31459422717943425,5.3303893626756595e-12,4.922725063545981e-12,4.961052445930689e-12,0.32056748086496417,20.0,0.6157098999974551
single_A_20260829,shift_B_1_up,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.32064426447705224,0.31601846114328797,5.358510273179849e-12,4.995886377568291e-12,4.9419909453731396e-12,0.32064426447705224,20.0,0.6120298000023467
single_A_20260830,shift_B_1_up,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.31955157993612926,0.3211513095413453,5.3034057022574545e-12,4.944392734280924e-12,4.9654942265296865e-12,0.3211513095413453,20.0,0.6165187000005972
robust_20260828,shift_B_1_up,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.1579876267764563,0.156506824943584,7.457370696019172e-12,7.440230115089541e-12,7.538390297996635e-12,0.1579876267764563,20.0,0.6207496999995783
robust_20260829,shift_B_1_up,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.1594320960732259,0.15562258325449235,7.343194487175408e-12,7.584722108259558e-12,7.309671493784678e-12,0.1594320960732259,20.0,0.6231360999954632
robust_20260830,shift_B_1_up,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.15807447899297342,0.15663546358885735,7.407332109399596e-12,7.534211078797926e-12,7.647565073976365e-12,0.15807447899297342,20.0,0.6192669000010937
random_filtered_seed_9101,shift_B_1_down,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5882623407375464,0.48862023716050934,2.2229155391873213e-11,2.0386078407484412e-11,2.2979324754731748e-11,0.5882623407375464,20.0,0.6101414000004297
random_filtered_seed_9102,shift_B_1_down,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.49339240894160186,0.5415047970605279,2.1887773401332406e-11,2.303966933934567e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6153609000029974
random_filtered_seed_9103,shift_B_1_down,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.5203013347032882,0.5791671539152953,2.3854948175971906e-11,2.392843703234475e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6181365999946138
straight_path,shift_B_1_down,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.3158012238757936,0.31694179815031337,8.060270556133302e-12,7.351403315937822e-12,7.413941205243471e-12,0.31694179815031337,20.0,0.6147034000023268
evenly_dispersed_binary,shift_B_1_down,256,256,b8833787d8d703775992a5d3ac5378d7d0b7e24496917de225ba10962a8c613b,0.25,0.544083054924187,0.5804946198418522,0.5849495361189074,2.1422474857255522e-11,2.1560865473210172e-11,2.1756926147835962e-11,0.5849495361189074,20.0,0.6158422000007704
single_A_20260828,shift_B_1_down,256,256,2bcc42fcc0dc8d29413adb4db8ff40a96bbef715d2c382b91b644ba38c9be2d1,0.25048828125,0.10718755478835461,0.31421766451511113,0.31459422717943425,5.3303893626756595e-12,4.995006414492193e-12,4.961052445930689e-12,0.31459422717943425,20.0,0.6154120999999577
single_A_20260829,shift_B_1_down,256,256,2d0de72cec5f92d16c3a0534c9bd67e6cf0d777b6fb9e573c0104fc44caa8d8a,0.250244140625,0.10721574450037244,0.3141041861694984,0.31601846114328797,5.358510273179849e-12,5.009411942940478e-12,4.9419909453731396e-12,0.31601846114328797,20.0,0.6170562000042992
single_A_20260830,shift_B_1_down,256,256,5019dafb2f1462cbfcd955a51960603d8c046303897e2835d9a5d8820f5596a5,0.25048828125,0.10723987678375418,0.3129656146178136,0.3211513095413453,5.3034057022574545e-12,4.974199140755253e-12,4.9654942265296865e-12,0.3211513095413453,20.0,0.6175045999989379
robust_20260828,shift_B_1_down,256,256,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99,0.2509765625,0.15615495681263328,0.15632227599493506,0.156506824943584,7.457370696019172e-12,7.437044805872476e-12,7.538390297996635e-12,0.156506824943584,20.0,0.612223099989933
robust_20260829,shift_B_1_down,256,256,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387,0.2509765625,0.1574716324313547,0.15612236392064252,0.15562258325449235,7.343194487175408e-12,7.592669554661498e-12,7.309671493784678e-12,0.1574716324313547,20.0,0.61466730000393
robust_20260830,shift_B_1_down,256,256,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915,0.251220703125,0.15615921571593164,0.154175958718087,0.15663546358885735,7.407332109399596e-12,7.423121242726584e-12,7.647565073976365e-12,0.15663546358885735,20.0,0.6118169999972451
random_filtered_seed_9101,shift_B_2_left,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,0.25,0.5225091495369487,0.5961654050497459,0.48862023716050934,2.2229155391873213e-11,2.0203578006504938e-11,2.2979324754731748e-11,0.5961654050497459,20.0,0.6163850000011735
random_filtered_seed_9102,shift_B_2_left,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,0.25,0.4559064735578981,0.4961411430221709,0.5415047970605279,2.1887773401332406e-11,2.310731765828152e-11,2.2048293027070123e-11,0.5415047970605279,20.0,0.6192589999991469
random_filtered_seed_9103,shift_B_2_left,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0.25,0.5117722170462393,0.5235553652267368,0.5791671539152953,2.3854948175971906e-11,2.3922234554922777e-11,2.409382300637203e-11,0.5791671539152953,20.0,0.6097950999974273
straight_path,shift_B_2_left,256,256,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,0.25,0.12769793624923825,0.3292221476108558,0.31694179815031337,8.060270556133302e-12,7.325468580118036e-12,7.413941205243471e-12,0.3292221476108558,20.0,0.6154919000109658
