family,task_index,task_id,tmax_256,scenario_a_256,scenario_b_256,scenario_c_256,material_fraction,maximum_residual,wall_seconds
RAW,0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,0.2016485003191309,0.2016485003191309,0.12195490731554069,0.1506377534049088,0.25,8.068916141719641e-12,0.9520184999564663
RAW,1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,0.2166236319413614,0.2166236319413614,0.1552232168201573,0.19220908473540455,0.25,7.111050095361506e-12,1.0709411000134423
RAW,2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,0.18011073269292796,0.14414265770281584,0.18011073269292796,0.14437440926323947,0.25,8.030719800997309e-12,1.0085661000339314
RAW,3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,0.18467961548611153,0.16994998700175837,0.18467961548611153,0.16711663866662396,0.25,8.07014955546435e-12,1.0228178999968804
RAW,4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,0.196402150941267,0.15167985693945465,0.196402150941267,0.16826896168347627,0.25,8.147676634198846e-12,0.9763194000115618
RAW,5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,0.1613970200215414,0.14863317865210496,0.12632288302899072,0.1613970200215414,0.25,5.962086284688746e-12,0.8935296999989077
RAW,6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,0.1586777234781378,0.12049757216531735,0.1586777234781378,0.12028157488885025,0.25,7.180552491421838e-12,1.0042590000084601
RAW,7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,0.18694847567505737,0.1436685231154549,0.18694847567505737,0.13792993690734529,0.25,8.225986828708623e-12,0.9966510999947786
RAW,8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,0.22942721244467046,0.22942721244467046,0.13108508788048812,0.18598759927347833,0.25,8.166769966553717e-12,0.9666446000337601
RAW,9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,0.16064636304544572,0.12385911307671184,0.16064636304544572,0.14381706805601902,0.25,7.2157413497448876e-12,1.0415360000333749
RAW,10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,0.2025669550804243,0.15791728181718614,0.15195095860271535,0.2025669550804243,0.25,8.760390811668273e-12,1.037290500011295
RAW,11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,0.22563795741355722,0.15957267943356085,0.16925483712868614,0.22563795741355722,0.25,8.892064211622041e-12,1.0008691000402905
RAW,12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,0.16565971119579467,0.16565971119579467,0.13099586109888042,0.15581931047285913,0.25,6.9545472143173474e-12,1.0400209999643266
RAW,13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,0.13665970672029065,0.12617471578842374,0.09855975866523521,0.13665970672029065,0.25,4.8135687029999475e-12,1.0429400999564677
RAW,14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,0.19195067301661425,0.17445894757383035,0.19195067301661425,0.1753990189921724,0.25,7.500464771316478e-12,1.0713223000057042
RAW,15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,0.2305936768830911,0.18133398801724848,0.14409143851712855,0.2305936768830911,0.25,9.098105091593904e-12,1.0436637999955565
RAW,16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,0.23948753936958497,0.23948753936958497,0.10991756199336784,0.13133815697713597,0.25,8.920981519010943e-12,1.0320517999934964
RAW,17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,0.212316074735961,0.212316074735961,0.1515639172701254,0.21021865460179506,0.25,9.190214160658234e-12,1.0216936999931931
RAW,18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,0.21600171228316253,0.14750501472277197,0.11655528130592349,0.21600171228316253,0.25,7.879566890569382e-12,1.0350578999496065
RAW,19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,0.18712446555174594,0.18712446555174594,0.17614163413178452,0.13821079958578725,0.25,8.160600692946741e-12,1.0253957000095397
RAW,20,77059e75195a0b81facf226b4e071ddb158fb843893ade2f83035a3635d7e2e0,0.21241654663367449,0.14363299063473378,0.11874668220238123,0.21241654663367449,0.25,8.119884391735945e-12,1.0453955000266433
